Title,Date
"O Atirador: O Extermínio Final","07/04/2020"
"La casa de papel: Parte 4: Plano Paris","05/04/2020"
"La casa de papel: Parte 4: Derrube a barraca","05/04/2020"
"La casa de papel: Parte 4: Nocaute técnico","04/04/2020"
"La casa de papel: Parte 4: Cinco minutos antes","04/04/2020"
"La casa de papel: Parte 4: Suspiros da Espanha","04/04/2020"
"La casa de papel: Parte 4: Aula de anatomia","03/04/2020"
"La casa de papel: Parte 4: Casamento de Berlim","03/04/2020"
"La casa de papel: Parte 4: Fim de jogo","03/04/2020"
"Schubert in Love","02/04/2020"
"Anne with an E: Temporada 1: Sua determinação dita seu destino","02/04/2020"
"Em Busca de Zoe","01/04/2020"
"3 Turcos e um Bebê","01/04/2020"
"Entre Vinho e Vinagre","31/03/2020"
"A Última Coisa que Ele Queria","30/03/2020"
"Refém do Medo","30/03/2020"
"Pequenos Delitos","29/03/2020"
"A Mentira","29/03/2020"
"Eu, Deus e Bin Laden","29/03/2020"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 3","29/03/2020"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 2","29/03/2020"
"Oh, Ramona!","28/03/2020"
"Mulheres da Noite: Temporada 1: O jardim das flores vivas","28/03/2020"
"Mulheres da Noite: Temporada 1: A armadilha","28/03/2020"
"Mulheres da Noite: Temporada 1: Cai a máscara","28/03/2020"
"Mulheres da Noite: Temporada 1: Queima de arquivo","28/03/2020"
"Mulheres da Noite: Temporada 1: Amar ou partir","27/03/2020"
"Mulheres da Noite: Temporada 1: O pacto","27/03/2020"
"Mulheres da Noite: Temporada 1: Faça o jogo","27/03/2020"
"Mulheres da Noite: Temporada 1: Mentiras demais","27/03/2020"
"Mulheres da Noite: Temporada 1: O menor dos pecados","27/03/2020"
"Mulheres da Noite: Temporada 1: Sensação de liberdade","26/03/2020"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 1","26/03/2020"
"A Casa","25/03/2020"
"Freud: Temporada 1: Histeria","25/03/2020"
"O Assassino de Valhalla: Temporada 1: Monstro no escuro","24/03/2020"
"O Assassino de Valhalla: Temporada 1: Encruzilhada","24/03/2020"
"O Assassino de Valhalla: Temporada 1: Quarto secreto","24/03/2020"
"O Assassino de Valhalla: Temporada 1: Todos viram","24/03/2020"
"O Assassino de Valhalla: Temporada 1: Cicatrizes","24/03/2020"
"O Assassino de Valhalla: Temporada 1: Valhalla","24/03/2020"
"Viral","23/03/2020"
"O Assassino de Valhalla: Temporada 1: A volta","23/03/2020"
"O Assassino de Valhalla: Temporada 1: Inédito","23/03/2020"
"Epidemia","22/03/2020"
"O Detento: Temporada 1: Episódio 1","22/03/2020"
"O Poço","22/03/2020"
"O Silêncio da Cidade Branca","22/03/2020"
"Aceleradas: Temporada 1: Eu quero cair fora","22/03/2020"
"Elite: Temporada 3: Polo","22/03/2020"
"Elite: Temporada 3: Nadia e Omar","22/03/2020"
"Elite: Temporada 3: Rebeca","22/03/2020"
"Vida","21/03/2020"
"Elite: Temporada 3: Ander","21/03/2020"
"Elite: Temporada 3: Lu","21/03/2020"
"Elite: Temporada 3: Cayetana e Valerio","21/03/2020"
"No Olho do Tornado","20/03/2020"
"Elite: Temporada 3: Samuel e Guzmán","20/03/2020"
"Elite: Temporada 3: Carla","19/03/2020"
"Toy Boy: Temporada 1: Anjos caídos","19/03/2020"
"Toy Boy: Temporada 1: Redenção","19/03/2020"
"O Durão","16/03/2020"
"Toy Boy: Temporada 1: Cachorro","16/03/2020"
"O Destino de Júpiter","15/03/2020"
"Toy Boy: Temporada 1: Fotos","14/03/2020"
"Pocoyo: Temporada 2: 1. Senhor Patão 2. Adivinhe o que é 3. Um por todos 4. Um bando de amigos","14/03/2020"
"Toy Boy: Temporada 1: Amor de mãe","12/03/2020"
"Troco em Dobro","10/03/2020"
"Toy Boy: Temporada 1: Única testemunha","09/03/2020"
"Toy Boy: Temporada 1: Mascarados","09/03/2020"
"Toy Boy: Temporada 1: Fim do túnel","08/03/2020"
"Gentefied: Temporada 1: Delfina","08/03/2020"
"Gentefied: Temporada 1: Protesto","07/03/2020"
"Gentefied: Temporada 1: Trabalho de mulher","07/03/2020"
"Toy Boy: Temporada 1: O pulso do assassino","06/03/2020"
"Toy Boy: Temporada 1: Ponto de partida","05/03/2020"
"Toy Boy: Temporada 1: O julgamento final","03/03/2020"
"Toy Boy: Temporada 1: Dentre os mortos","02/03/2020"
"Toy Boy: Temporada 1: Piloto","02/03/2020"
"Gentefied: Temporada 1: Amor marrom","01/03/2020"
"I Am Not Okay With This: Temporada 1: Segredo mais sombrio","01/03/2020"
"I Am Not Okay With This: Temporada 1: Tal pai, tal filha","01/03/2020"
"Gentefied: Temporada 1: Mudança","01/03/2020"
"Gentefied: Temporada 1: O mural","01/03/2020"
"I Am Not Okay With This: Temporada 1: Mais um dia no paraíso","01/03/2020"
"I Am Not Okay With This: Temporada 1: Stan sabe","01/03/2020"
"Gentefied: Temporada 1: Desempregado","01/03/2020"
"Gentefied: Temporada 1: Homens, mas nem tanto","29/02/2020"
"Gentefied: Temporada 1: Fiança","29/02/2020"
"I Am Not Okay With This: Temporada 1: A festa acabou","28/02/2020"
"I Am Not Okay With This: Temporada 1: O mestre de uma transa","27/02/2020"
"I Am Not Okay With This: Temporada 1: Querido diário...","26/02/2020"
"Isi & Ossi","25/02/2020"
"Pocoyo: Temporada 1: 49. Blocos musicais 50. Faz um quadro para mim 51. A boneca da Elly 52. Brincando para sempre","25/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 8","24/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 7","24/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 6","24/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 5","24/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 4","23/02/2020"
"Gentefied: Temporada 1: Casimiro","23/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 3","23/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 2","23/02/2020"
"Não Fale com Estranhos: Temporada 1: Episódio 1","22/02/2020"
"Para todos os garotos: P.S. ainda amo você","22/02/2020"
"Horizonte Profundo: Desastre no Golfo","22/02/2020"
"Vikings: Temporada 6: Os melhores planos","17/02/2020"
"Vikings: Temporada 6: Ressurreição","17/02/2020"
"A Rainha do Sul: Temporada 3: O mundo","17/02/2020"
"A Rainha do Sul: Temporada 3: Justiça","17/02/2020"
"Vikings: Temporada 6: Valhalla pode esperar","16/02/2020"
"A Rainha do Sul: Temporada 3: Dez de copas","16/02/2020"
"A Rainha do Sul: Temporada 3: A morte","16/02/2020"
"Vikings: Temporada 6: A mulher do gelo","16/02/2020"
"A Rainha do Sul: Temporada 3: O diabo","16/02/2020"
"Pocoyo: Temporada 1: 45. Hora de dormir 46. Algo entre amigos 47.  Tem que rir 48. O que há na caixa?","14/02/2020"
"Pocoyo: Temporada 1: 41. Imagine o desenho  42. O aniversário da Baleia 43.  A Amiguinha do Pocoyo 44. Colorindo o meu mundo","14/02/2020"
"A Rainha do Sul: Temporada 3: O carro","14/02/2020"
"A Rainha do Sul: Temporada 3: Rainha de espadas","14/02/2020"
"Vikings: Temporada 6: A morte e a serpente","13/02/2020"
"A Rainha do Sul: Temporada 3: Os apaixonados","13/02/2020"
"Vikings: Temporada 6: A chave","12/02/2020"
"Vikings: Temporada 6: Todos os prisioneiros","12/02/2020"
"A Rainha do Sul: Temporada 3: O julgamento","12/02/2020"
"Vikings: Temporada 6: Fantasmas, deuses e cachorros fugitivos","11/02/2020"
"Vikings: Temporada 6: O Profeta","11/02/2020"
"A Rainha do Sul: Temporada 3: A força","11/02/2020"
"A Rainha do Sul: Temporada 3: Rainha de ouros","10/02/2020"
"A Rainha do Sul: Temporada 3: Um velho amigo","10/02/2020"
"A Rainha do Sul: Temporada 3: A eremita","09/02/2020"
"A Rainha do Sul: Temporada 2: A última hora mata","09/02/2020"
"A Rainha do Sul: Temporada 2: Todas as horas ferem","09/02/2020"
"A Rainha do Sul: Temporada 2: A noite escura da alma","09/02/2020"
"A Rainha do Sul: Temporada 2: Que entrem os palhaços","09/02/2020"
"A Rainha do Sul: Temporada 2: Só o amor de mãe","09/02/2020"
"O Que Será de Nozes 2","09/02/2020"
"A Rainha do Sul: Temporada 2: Esvaziando o mar com canudinho","08/02/2020"
"A Rainha do Sul: Temporada 2: O preço da fé","08/02/2020"
"Vikings: Temporada 6: Novos começos","08/02/2020"
"A Rainha do Sul: Temporada 2: O caminho da morte","07/02/2020"
"O Limite da Traição","07/02/2020"
"A Rainha do Sul: Temporada 2: O nascimento de Bolívia","07/02/2020"
"Vikings: Temporada 5: Ragnarök","07/02/2020"
"Assassin's Creed","06/02/2020"
"A Rainha do Sul: Temporada 2: O beijo de Judas","06/02/2020"
"A Rainha do Sul: Temporada 2: Pacto com o diabo","05/02/2020"
"A Rainha do Sul: Temporada 2: Deus e o diabo","04/02/2020"
"A Rainha do Sul: Temporada 2: O corpo de Cristo","04/02/2020"
"A Rainha do Sul: Temporada 1: Cicatriz","03/02/2020"
"A Rainha do Sul: Temporada 1: Quinhentos mil","03/02/2020"
"Uma Noite Mais que Louca","02/02/2020"
"A Rainha do Sul: Temporada 1: Ponto sem volta","02/02/2020"
"A Rainha do Sul: Temporada 1: Essa coisa nossa","02/02/2020"
"A Rainha do Sul: Temporada 1: Pegue tudo o que puder levar","02/02/2020"
"A Rainha do Sul: Temporada 1: Dinheiro mágico","02/02/2020"
"Ragnarok: Temporada 1: Sim, amamos este país","01/02/2020"
"Ragnarok: Temporada 1: Número atômico 48","01/02/2020"
"Ragnarok: Temporada 1: Ginnungagap","01/02/2020"
"Ragnarok: Temporada 1: Jutulheim","01/02/2020"
"A Rainha do Sul: Temporada 1: O homem-pássaro","01/02/2020"
"Ragnarok: Temporada 1: 541 metros","01/02/2020"
"Ragnarok: Temporada 1: Novato","31/01/2020"
"The Fundamentals of Caring","30/01/2020"
"A Rainha do Sul: Temporada 1: O engano como regra","30/01/2020"
"A Rainha do Sul: Temporada 1: Uma alma. Um mapa. Ao futuro.","29/01/2020"
"A Rainha do Sul: Temporada 1: Lírio dos vales","28/01/2020"
"A Rainha do Sul: Temporada 1: Estratégia de entrada","28/01/2020"
"The Ranch: Parte 8: Nada como a casa da gente","27/01/2020"
"A Rainha do Sul: Temporada 1: Quarenta minutos","27/01/2020"
"The Ranch: Parte 8: Falta de sorte","27/01/2020"
"The Ranch: Parte 8: Confusão total","26/01/2020"
"A Rainha do Sul: Temporada 1: Piloto","26/01/2020"
"The Ranch: Parte 8: Não sei o que me deu","26/01/2020"
"The Ranch: Parte 8: Você não é o centro do mundo","25/01/2020"
"The Ranch: Parte 8: Nasci para amar você","24/01/2020"
"The Ranch: Parte 8: Por um triz","24/01/2020"
"The Ranch: Parte 8: Longe de todos","24/01/2020"
"The Ranch: Parte 8: Como se fosse a última vez","24/01/2020"
"The Ranch: Parte 8: Não é culpa minha","24/01/2020"
"Quase 18","24/01/2020"
"Templários: Temporada 1: Você saberia o que fazer","23/01/2020"
"Between: Temporada 1: Último dia de aula","23/01/2020"
"Sing – Quem Canta Seus Males Espanta","22/01/2020"
"Between: Temporada 1: Quem é que manda?","21/01/2020"
"Sex Education: Temporada 2: Episódio 8","20/01/2020"
"Sex Education: Temporada 2: Episódio 7","20/01/2020"
"Sex Education: Temporada 2: Episódio 6","20/01/2020"
"Sex Education: Temporada 2: Episódio 5","20/01/2020"
"Sex Education: Temporada 2: Episódio 4","20/01/2020"
"Dark: Temporada 1: Segredos","20/01/2020"
"Spartacus: Blood and Sand: A serpente vermelha","19/01/2020"
"Sex Education: Temporada 2: Episódio 3","19/01/2020"
"Transferências: Temporada 1: Episódio 1","19/01/2020"
"Sex Education: Temporada 2: Episódio 2","18/01/2020"
"Sex Education: Temporada 2: Episódio 1","18/01/2020"
"The Client List: Temporada 2: Preces não atendidas","18/01/2020"
"Todas as Sardas do Mundo","18/01/2020"
"Você: Temporada 2: Simplesmente Love","17/01/2020"
"Logan Lucky - Roubo em Família","16/01/2020"
"The Ranch: Parte 7: Tormenta","16/01/2020"
"The Ranch: Parte 5 (Trailer)","16/01/2020"
"Você: Temporada 2: Joe detetive","15/01/2020"
"Um dia a casa cai","14/01/2020"
"Você: Temporada 2: Medo e delírio em Beverly Hills","14/01/2020"
"Tomb Raider: A Origem","13/01/2020"
"Você: Temporada 2: Crise ex-istencial","13/01/2020"
"Você: Temporada 2: Adeus, gatinha","12/01/2020"
"Zoo: Temporada 3: A barreira","12/01/2020"
"Zoo: Temporada 3: Amor, sublime amor","12/01/2020"
"Zoo: Temporada 3: Berços e túmulos","12/01/2020"
"Pocoyo: Temporada 1: 37. Bolas de malabarismo 38. Pato bagunceiro 39. Vida de cão 40. Olimpíadas do Pocoyo","11/01/2020"
"Baby: Temporada 1: Superpoderes","11/01/2020"
"Zoo: Temporada 3: Era uma vez no ninho","10/01/2020"
"Você: Temporada 2: Bom final de semana de bem-estar, Joe!","10/01/2020"
"Zoo: Temporada 3: A floresta negra","10/01/2020"
"Zoo: Temporada 3: Riscos em um avião","09/01/2020"
"Zoo: Temporada 3: Obrigado, Sam","08/01/2020"
"Você: Temporada 2: O bom, o mau e o Hendy","08/01/2020"
"Zoo: Temporada 3: Oz é Oz","07/01/2020"
"Zoo: Temporada 3: Hora da dança","07/01/2020"
"Zoo: Temporada 3: Bem-vindo à Terra Domo","07/01/2020"
"Zoo: Temporada 3: Depois de dez anos","06/01/2020"
"Zoo: Temporada 3: Diáspora","06/01/2020"
"Zoo: Temporada 3: Não há lugar como a nossa casa","06/01/2020"
"Zoo: Temporada 2: Clementine","05/01/2020"
"Zoo: Temporada 2: Pangeia","05/01/2020"
"Zoo: Temporada 2: Contingência","03/01/2020"
"Zoo: Temporada 2: Correndo contra o tempo","03/01/2020"
"Zoo: Temporada 2: Pecados paternos","02/01/2020"
"Zoo: Temporada 2: Abelhas","02/01/2020"
"Zoo: Temporada 2: Jamie armada","02/01/2020"
"Zoo: Temporada 2: Sexo, mentiras e águas-vivas","02/01/2020"
"Zoo: Temporada 2: A lua e a estrela","01/01/2020"
"Zoo: Temporada 2: Muros de Jericó","01/01/2020"
"Você: Temporada 2: Para que servem os amigos?","01/01/2020"
"Você: Temporada 2: Só a ponta","01/01/2020"
"Zoo: Temporada 2: Ponto de colisão","01/01/2020"
"Zoo: Temporada 2: Caraquet","01/01/2020"
"Zoo: Temporada 2: O dia da fera","01/01/2020"
"Zoo: Temporada 1: A grande colina da esperança","31/12/2019"
"Zoo: Temporada 1: Coisas selvagens","31/12/2019"
"Zoo: Temporada 1: Coma, beba e saia","30/12/2019"
"Zoo: Temporada 1: Contágio emocional","30/12/2019"
"Zoo: Temporada 1: Murmuração","29/12/2019"
"Zoo: Temporada 1: O queijo deixado para trás","29/12/2019"
"Você: Temporada 2: Recomeço","29/12/2019"
"Zoo: Temporada 1: Detetives","29/12/2019"
"Zoo: Temporada 1: É o que parece","29/12/2019"
"Zoo: Temporada 1: A culpa é do Leo","29/12/2019"
"Zoo: Temporada 1: Mentalidade de matilha","29/12/2019"
"Zoo: Temporada 1: O silêncio das cigarras","29/12/2019"
"Zoo: Temporada 1: Lute ou fuja","29/12/2019"
"Zoo: Temporada 1: Primeira vitória","29/12/2019"
"Colony: Temporada 3: As coisas têm que melhorar","28/12/2019"
"Colony: Temporada 3: Bonzo","28/12/2019"
"Colony: Temporada 3: Heróis descartáveis","28/12/2019"
"Colony: Temporada 3: Seguros?","28/12/2019"
"Colony: Temporada 3: O grande vazio","28/12/2019"
"Colony: Temporada 3: Lázaro","28/12/2019"
"Colony: Temporada 3: Um lugar limpo e iluminado","27/12/2019"
"Colony: Temporada 3: Seattle","27/12/2019"
"Colony: Temporada 3: Fim da linha","27/12/2019"
"Colony: Temporada 3: Hospício","27/12/2019"
"Colony: Temporada 3: Sierra Maestra","27/12/2019"
"Colony: Temporada 3: Homem Quebra-cabeça","26/12/2019"
"Colony: Temporada 3: Matagal","26/12/2019"
"D.E.B.S.: As Super Espiãs","26/12/2019"
"O elo perdido","26/12/2019"
"Corra!","25/12/2019"
"The Client List: Temporada 2: O concurso","25/12/2019"
"The Client List: Temporada 2: O pior está por vir","25/12/2019"
"Lugar de Mulher: Temporada 1: Carol Zoccoli","23/12/2019"
"Lugar de Mulher: Temporada 1: Cintia Rosini","23/12/2019"
"Lugar de Mulher: Temporada 1: Micheli Machado","23/12/2019"
"Lugar de Mulher: Temporada 1: Bruna Louise","23/12/2019"
"The Witcher: Temporada 1: Muito mais","23/12/2019"
"The Witcher: Temporada 1: Antes da queda","22/12/2019"
"The Witcher: Temporada 1: Espécies raras","22/12/2019"
"The Witcher: Temporada 1: Desejos reprimidos","22/12/2019"
"The Client List: Temporada 2: É a vez do cowboy","22/12/2019"
"The Witcher: Temporada 1: Banquetes, bastardos e funerais","22/12/2019"
"The Witcher: Temporada 1: Lua da traição","22/12/2019"
"The Witcher: Temporada 1: Apenas quatro","22/12/2019"
"Personal Shopper_hook_primary_16x9","21/12/2019"
"The Witcher: Temporada 1: O começo do fim","21/12/2019"
"The Client List: Temporada 2: Quem está traindo quem","21/12/2019"
"Altered Carbon: Temporada 1: Os assassinos","21/12/2019"
"Altered Carbon: Temporada 1: Fúria no céu","20/12/2019"
"Altered Carbon: Temporada 1: Só a mulher peca","20/12/2019"
"Altered Carbon: Temporada 1: O cão raivoso","20/12/2019"
"The Client List: Temporada 2: Isso pode ser meu","20/12/2019"
"Altered Carbon: Temporada 1: O homem com meu rosto","20/12/2019"
"Altered Carbon: Temporada 1: O homem errado","19/12/2019"
"Altered Carbon: Temporada 1: Força do mal","19/12/2019"
"Altered Carbon: Temporada 1: No silêncio da noite","19/12/2019"
"Altered Carbon: Temporada 1: Anjo ou demônio","19/12/2019"
"Altered Carbon: Temporada 1: Fuga do passado","19/12/2019"
"The Client List: Temporada 1: O passado é um prólogo","19/12/2019"
"Passageiros","18/12/2019"
"The Client List: Temporada 1: Travessuras","18/12/2019"
"The Client List: Temporada 1: Brincadeira de adultos","18/12/2019"
"Ted Bundy: A Irresistível Face do Mal","18/12/2019"
"Especial de Natal Porta dos Fundos: A Primeira Tentação de Cristo","17/12/2019"
"The Client List: Temporada 1: A vida de Riley","16/12/2019"
"Transformers: O Último Cavaleiro","16/12/2019"
"The Client List: Temporada 1: A verdade dura e cruel","15/12/2019"
"Esquadrão 6","15/12/2019"
"Apocalipse V: Temporada 1: Ferido, mas não derrotado","15/12/2019"
"The Client List: Temporada 1: Tente, tente novamente","15/12/2019"
"Apocalipse V: Temporada 1: Uma dose do gene predador","14/12/2019"
"Apocalipse V: Temporada 1: Chuva vermelha","14/12/2019"
"The Client List: Temporada 1: Parece verdade","13/12/2019"
"Apocalipse V: Temporada 1: A noite se torna mais escura","13/12/2019"
"The Client List: Temporada 1: Amor difícil","11/12/2019"
"The Client List: Temporada 1: Virando a página","11/12/2019"
"Apocalipse V: Temporada 1: Não basta ter vivido","10/12/2019"
"Apocalipse V: Temporada 1: A sangue frio","10/12/2019"
"The Client List: Temporada 1: A pegada do subúrbio","10/12/2019"
"Apocalipse V: Temporada 1: Perversos como eu","10/12/2019"
"Apocalipse V: Temporada 1: Porque não pude parar para a Morte","09/12/2019"
"Dezessete","09/12/2019"
"Apocalipse V: Temporada 1: Irmãos de sangue","09/12/2019"
"Apocalipse V: Temporada 1: Infectados","08/12/2019"
"O Cara","08/12/2019"
"El club: Temporada 1: Ecstasy e péssimas ideias","08/12/2019"
"Como Ser Solteira","08/12/2019"
"Mytho: Temporada 1: Episódio 6","06/12/2019"
"Mytho: Temporada 1: Episódio 5","06/12/2019"
"Mytho: Temporada 1: Episódio 4","05/12/2019"
"Mytho: Temporada 1: Episódio 3","04/12/2019"
"Mytho: Temporada 1: Episódio 2","04/12/2019"
"Mytho: Temporada 1: Episódio 1","03/12/2019"
"Como Superar um  Fora","02/12/2019"
"Nós Somos a Onda: Temporada 1: É o único jeito","02/12/2019"
"Nós Somos a Onda: Temporada 1: Os 99%","02/12/2019"
"O Irlandês","01/12/2019"
"Nós Somos a Onda: Temporada 1: Você está destruindo tudo!","01/12/2019"
"Nós Somos a Onda: Temporada 1: E agora?","30/11/2019"
"Nós Somos a Onda: Temporada 1: Qual é o seu problema?","29/11/2019"
"Nós Somos a Onda: Temporada 1: Sabe aquela sensação?","28/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 35","28/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 34","27/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 33","26/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 32","26/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 31","26/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 30","25/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 29","25/11/2019"
"Prisão de Mulheres: Temporada 1: Parte 2: Episódio 28","25/11/2019"
"Peppa Pig: Temporada 1: Segredos / Soltando pipa / Piquenique / Instrumentos musicais","25/11/2019"
"Peppa Pig: Temporada 1: O papai perde seus óculos / Jardinagem / Soluço / Bicicletas","25/11/2019"
"Peppa Pig: Temporada 1: Esconde-esconde/ A escolinha/ Mamãe trabalhando/ Brincando de bobinho","25/11/2019"
