Index,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020
,Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
00:00:00,Dev,null,null,null,null,null,null
00:30:00,Dev,null,null,null,null,null,null
01:00:00,Dev,null,null,null,null,null,null
01:30:00,Dev,null,null,null,null,null,null
02:00:00,Dev,null,null,null,null,null,null
02:30:00,Dev,null,null,null,null,null,null
03:00:00,Dev,null,null,null,null,null,null
03:30:00,Dev,null,null,null,null,null,null
04:00:00,Dev,null,null,null,null,null,null
04:30:00,Dev,null,null,null,null,null,null
05:00:00,Dev,null,null,null,null,null,null
05:30:00,Dev,null,null,null,null,null,null
06:00:00,null,null,null,null,null,null,null
06:30:00,null,null,null,null,null,null,null
07:00:00,null,null,null,null,null,null,null
07:30:00,null,null,null,null,null,null,null
08:00:00,null,null,null,null,null,null,null
08:30:00,null,null,null,null,null,null,null
09:00:00,null,null,null,null,null,null,null
09:30:00,null,null,null,null,null,null,null
10:00:00,null,null,null,null,null,null,null
10:30:00,null,null,null,null,null,null,null
11:00:00,null,null,null,null,null,null,null
11:30:00,null,null,null,null,null,null,null
12:00:00,null,null,null,null,null,null,null
12:30:00,null,null,null,null,null,null,null
13:00:00,null,null,null,null,null,null,null
13:30:00,null,null,null,null,null,null,null
14:00:00,null,null,null,null,null,null,null
14:30:00,null,null,null,null,null,null,null
15:00:00,null,null,null,null,null,null,null
15:30:00,null,null,null,null,null,null,null
16:00:00,null,null,null,null,null,null,null
16:30:00,null,null,null,null,null,null,null
17:00:00,null,null,null,null,null,null,null
17:30:00,null,null,null,null,null,null,null
18:00:00,null,null,null,null,null,null,null
18:30:00,null,null,null,null,null,null,null
19:00:00,null,null,null,null,null,null,null
19:30:00,null,null,null,null,null,null,null
20:00:00,null,null,null,null,null,null,null
20:30:00,null,null,null,null,null,null,null
21:00:00,null,null,null,null,null,null,null
21:30:00,null,null,null,null,null,null,null
22:00:00,null,null,null,null,null,null,null
22:30:00,null,null,null,null,null,null,null
23:00:00,null,null,null,null,null,null,null
23:30:00,null,null,null,null,null,null,null
